Inventory_ID,ID (SKU),Size,Color,Qty_on_hand,Qty_reserved,Qty_available,Qty_incoming,Reorder_point,Reorder_qty,Stock_status,Warehouse_location,Cost_price(INR),Supplier_ID,Last_restocked_at,Updated_at
APL-TOP-M-001-XS-WHI,APL-TOP-M-001,XS,White,6,0,6,24,6,24,low_stock,DEL-FC1-D02-R1,192,SUP-001,2026-05-01,2026-05-28
APL-TOP-M-001-S-WHI,APL-TOP-M-001,S,White,37,3,34,0,12,48,in_stock,DEL-FC1-D08-R4,192,SUP-001,2026-07-04,2026-07-08
APL-TOP-M-001-M-WHI,APL-TOP-M-001,M,White,0,0,0,0,19,78,out_of_stock,DEL-FC1-F14-R3,192,SUP-001,2026-05-25,2026-06-03
APL-TOP-M-001-L-WHI,APL-TOP-M-001,L,White,13,0,13,0,18,72,low_stock,DEL-FC1-E09-R1,192,SUP-001,2026-06-17,2026-06-24
APL-TOP-M-001-XL-WHI,APL-TOP-M-001,XL,White,66,8,58,0,12,48,in_stock,DEL-FC1-C19-R2,192,SUP-001,2026-04-28,2026-05-03
APL-TOP-M-001-XXL-WHI,APL-TOP-M-001,XXL,White,33,4,29,0,7,30,in_stock,DEL-FC1-D09-R4,192,SUP-001,2026-07-10,2026-07-15
APL-TOP-M-001-XS-BLA,APL-TOP-M-001,XS,Black,17,1,16,0,6,24,in_stock,DEL-FC1-A20-R2,192,SUP-001,2026-06-27,2026-07-04
APL-TOP-M-001-S-BLA,APL-TOP-M-001,S,Black,35,3,32,0,12,48,in_stock,DEL-FC1-F11-R1,192,SUP-001,2026-05-19,2026-07-10
APL-TOP-M-001-M-BLA,APL-TOP-M-001,M,Black,48,1,47,0,19,78,in_stock,DEL-FC1-F11-R2,192,SUP-001,2026-07-12,2026-07-15
APL-TOP-M-001-L-BLA,APL-TOP-M-001,L,Black,65,2,63,0,18,72,in_stock,DEL-FC1-E18-R3,192,SUP-001,2026-07-03,2026-07-16
APL-TOP-M-001-XL-BLA,APL-TOP-M-001,XL,Black,63,9,54,0,12,48,in_stock,DEL-FC1-A02-R1,192,SUP-001,2026-05-09,2026-05-29
APL-TOP-M-001-XXL-BLA,APL-TOP-M-001,XXL,Black,4,0,4,30,7,30,low_stock,DEL-FC1-C18-R1,192,SUP-001,2026-05-04,2026-07-11
APL-TOP-M-001-XS-NAV,APL-TOP-M-001,XS,Navy,28,1,27,0,6,24,in_stock,DEL-FC1-A09-R5,192,SUP-001,2026-05-12,2026-07-15
APL-TOP-M-001-S-NAV,APL-TOP-M-001,S,Navy,63,6,57,0,12,48,in_stock,DEL-FC1-B12-R2,192,SUP-001,2026-06-28,2026-07-14
APL-TOP-M-001-M-NAV,APL-TOP-M-001,M,Navy,104,1,103,0,19,78,in_stock,DEL-FC1-C08-R1,192,SUP-001,2026-05-20,2026-07-15
APL-TOP-M-001-L-NAV,APL-TOP-M-001,L,Navy,75,9,66,0,18,72,in_stock,DEL-FC1-E05-R2,192,SUP-001,2026-07-13,2026-07-16
APL-TOP-M-001-XL-NAV,APL-TOP-M-001,XL,Navy,65,5,60,0,12,48,in_stock,DEL-FC1-E07-R3,192,SUP-001,2026-06-10,2026-07-03
APL-TOP-M-001-XXL-NAV,APL-TOP-M-001,XXL,Navy,2,0,2,30,7,30,low_stock,DEL-FC1-E08-R5,192,SUP-001,2026-05-18,2026-05-18
APL-TOP-M-002-XS-SKY,APL-TOP-M-002,XS,Sky Blue,0,0,0,48,12,48,out_of_stock,BLR-FC1-E08-R3,730,SUP-002,2026-07-14,2026-07-17
APL-TOP-M-002-S-SKY,APL-TOP-M-002,S,Sky Blue,74,6,68,0,24,96,in_stock,BLR-FC1-D14-R2,730,SUP-002,2026-05-02,2026-05-14
APL-TOP-M-002-M-SKY,APL-TOP-M-002,M,Sky Blue,175,22,153,0,39,156,in_stock,BLR-FC1-F04-R1,730,SUP-002,2026-06-10,2026-07-01
APL-TOP-M-002-L-SKY,APL-TOP-M-002,L,Sky Blue,178,14,164,0,36,144,in_stock,BLR-FC1-B09-R4,730,SUP-002,2026-05-21,2026-07-15
APL-TOP-M-002-XL-SKY,APL-TOP-M-002,XL,Sky Blue,128,10,118,0,24,96,in_stock,BLR-FC1-E01-R1,730,SUP-002,2026-05-20,2026-05-30
APL-TOP-M-002-XXL-SKY,APL-TOP-M-002,XXL,Sky Blue,55,7,48,0,15,60,in_stock,BLR-FC1-A13-R3,730,SUP-002,2026-06-17,2026-07-05
APL-TOP-M-002-XS-WHI,APL-TOP-M-002,XS,White,45,3,42,0,12,48,in_stock,BLR-FC1-B07-R3,730,SUP-002,2026-05-17,2026-07-17
APL-TOP-M-002-S-WHI,APL-TOP-M-002,S,White,11,0,11,0,24,96,low_stock,BLR-FC1-E17-R2,730,SUP-002,2026-04-27,2026-07-01
APL-TOP-M-002-M-WHI,APL-TOP-M-002,M,White,103,10,93,0,39,156,in_stock,BLR-FC1-A19-R2,730,SUP-002,2026-07-03,2026-07-04
APL-TOP-M-002-L-WHI,APL-TOP-M-002,L,White,157,12,145,0,36,144,in_stock,BLR-FC1-B11-R2,730,SUP-002,2026-05-23,2026-06-17
APL-TOP-M-002-XL-WHI,APL-TOP-M-002,XL,White,67,9,58,0,24,96,in_stock,BLR-FC1-A15-R5,730,SUP-002,2026-07-01,2026-07-04
APL-TOP-M-002-XXL-WHI,APL-TOP-M-002,XXL,White,39,5,34,0,15,60,in_stock,BLR-FC1-B12-R3,730,SUP-002,2026-05-10,2026-07-05
APL-TOP-M-003-XS-BOT,APL-TOP-M-003,XS,Bottle Green,13,1,12,0,5,20,in_stock,MUM-FC1-F04-R2,599,SUP-003,2026-05-23,2026-05-30
APL-TOP-M-003-S-BOT,APL-TOP-M-003,S,Bottle Green,3,0,3,0,5,20,low_stock,MUM-FC1-B09-R5,599,SUP-003,2026-06-21,2026-06-29
APL-TOP-M-003-M-BOT,APL-TOP-M-003,M,Bottle Green,7,0,7,32,8,32,low_stock,MUM-FC1-C05-R3,599,SUP-003,2026-05-10,2026-07-05
APL-TOP-M-003-L-BOT,APL-TOP-M-003,L,Bottle Green,1,0,1,0,7,30,low_stock,MUM-FC1-B18-R1,599,SUP-003,2026-06-06,2026-07-13
APL-TOP-M-003-XL-BOT,APL-TOP-M-003,XL,Bottle Green,3,0,3,0,5,20,low_stock,MUM-FC1-A12-R2,599,SUP-003,2026-05-21,2026-07-02
APL-TOP-M-003-XXL-BOT,APL-TOP-M-003,XXL,Bottle Green,8,0,8,0,5,20,in_stock,MUM-FC1-B08-R2,599,SUP-003,2026-05-12,2026-07-03
APL-TOP-M-003-XS-GRE,APL-TOP-M-003,XS,Grey Melange,6,0,6,0,5,20,in_stock,MUM-FC1-F08-R3,599,SUP-003,2026-05-10,2026-05-23
APL-TOP-M-003-S-GRE,APL-TOP-M-003,S,Grey Melange,0,0,0,20,5,20,out_of_stock,MUM-FC1-B15-R3,599,SUP-003,2026-05-29,2026-07-18
APL-TOP-M-003-M-GRE,APL-TOP-M-003,M,Grey Melange,42,2,40,0,8,32,in_stock,MUM-FC1-A09-R3,599,SUP-003,2026-07-11,2026-07-17
APL-TOP-M-003-L-GRE,APL-TOP-M-003,L,Grey Melange,34,0,34,0,7,30,in_stock,MUM-FC1-C06-R5,599,SUP-003,2026-05-23,2026-05-25
APL-TOP-M-003-XL-GRE,APL-TOP-M-003,XL,Grey Melange,13,0,13,0,5,20,in_stock,MUM-FC1-E04-R4,599,SUP-003,2026-07-02,2026-07-08
APL-TOP-M-003-XXL-GRE,APL-TOP-M-003,XXL,Grey Melange,3,0,3,0,5,20,low_stock,MUM-FC1-F07-R3,599,SUP-003,2026-06-14,2026-06-18
APL-TOP-M-004-XS-CHA,APL-TOP-M-004,XS,Charcoal,8,0,8,0,5,20,in_stock,MUM-FC1-D11-R4,1073,SUP-001,2026-05-27,2026-07-01
APL-TOP-M-004-S-CHA,APL-TOP-M-004,S,Charcoal,14,1,13,0,5,20,in_stock,MUM-FC1-E19-R3,1073,SUP-001,2026-06-10,2026-07-15
APL-TOP-M-004-M-CHA,APL-TOP-M-004,M,Charcoal,41,4,37,0,8,32,in_stock,MUM-FC1-C15-R4,1073,SUP-001,2026-06-15,2026-06-28
APL-TOP-M-004-L-CHA,APL-TOP-M-004,L,Charcoal,30,3,27,0,7,30,in_stock,MUM-FC1-C17-R5,1073,SUP-001,2026-06-01,2026-06-06
APL-TOP-M-004-XL-CHA,APL-TOP-M-004,XL,Charcoal,25,0,25,0,5,20,in_stock,MUM-FC1-A02-R2,1073,SUP-001,2026-06-19,2026-07-08
APL-TOP-M-004-XXL-CHA,APL-TOP-M-004,XXL,Charcoal,0,0,0,20,5,20,out_of_stock,MUM-FC1-F19-R2,1073,SUP-001,2026-06-08,2026-07-09
APL-TOP-M-004-XS-MAR,APL-TOP-M-004,XS,Maroon,0,0,0,20,5,20,out_of_stock,MUM-FC1-A14-R2,1073,SUP-001,2026-05-12,2026-07-17
APL-TOP-M-004-S-MAR,APL-TOP-M-004,S,Maroon,19,0,19,0,5,20,in_stock,MUM-FC1-D17-R5,1073,SUP-001,2026-07-05,2026-07-10
APL-TOP-M-004-M-MAR,APL-TOP-M-004,M,Maroon,44,4,40,0,8,32,in_stock,MUM-FC1-E15-R2,1073,SUP-001,2026-06-19,2026-07-03
