Order_item_ID,Order_ID,Customer_ID,Order_date,ID (SKU),Inventory_ID,Size,Color,Quantity,Unit_price(INR),Line_total(INR),Payment_method,Payment_status,Order_status,Warehouse_shipped_from,Courier_partner,Tracking_number,Shipped_at,Expected_delivery,Delivered_at,Return_reason,Shipping_city,Shipping_pincode
OI-000001,ORD-2026-000001,CUST-0083,2026-06-28 08:04,APL-TOP-M-006,APL-TOP-M-006-S-BLA,S,Black,1,2999,2999,COD,paid,delivered,DEL-FC1,Delhivery,AWB1300026767,2026-06-28,2026-07-03,2026-06-29,,Jaipur,302001
OI-000002,ORD-2026-000001,CUST-0083,2026-06-28 08:04,APL-TOP-F-076,APL-TOP-F-076-M-LIL,M,Lilac,1,799,799,COD,paid,delivered,DEL-FC1,Delhivery,AWB1300026767,2026-06-28,2026-07-03,2026-06-29,,Jaipur,302001
OI-000003,ORD-2026-000002,CUST-0161,2026-07-10 17:25,APL-TOP-F-070,APL-TOP-F-070-XL-NAV,XL,Navy,1,1199,1199,UPI,refunded,cancelled,DEL-FC1,,,,,,,Jaipur,302001
OI-000004,ORD-2026-000003,CUST-0079,2026-06-17 09:37,APL-TOP-M-059,APL-TOP-M-059-S-IVO,S,Ivory,1,2299,2299,UPI,paid,delivered,DEL-FC1,DTDC,AWB7578688354,2026-06-17,2026-06-20,2026-06-20,,Chandigarh,160017
OI-000005,ORD-2026-000004,CUST-0064,2026-06-16 11:05,APL-TOP-F-023,APL-TOP-F-023-XS-CHA,XS,Champagne,1,2299,2299,Netbanking,paid,delivered,BLR-FC1,Ekart,AWB7493702076,2026-06-18,2026-06-20,2026-06-20,,Chandigarh,160017
OI-000006,ORD-2026-000004,CUST-0064,2026-06-16 11:05,APL-BTM-F-082,APL-BTM-F-082-S-CHE,S,Checked Grey,2,1199,2398,Netbanking,paid,delivered,BLR-FC1,Ekart,AWB7493702076,2026-06-18,2026-06-20,2026-06-20,,Chandigarh,160017
OI-000007,ORD-2026-000005,CUST-0020,2026-06-21 22:52,APL-TOP-F-075,APL-TOP-F-075-M-OLI,M,Olive,1,1999,1999,COD,paid,delivered,BLR-FC1,Delhivery,AWB1279172786,2026-06-22,2026-06-27,2026-06-28,,Kochi,682001
OI-000008,ORD-2026-000005,CUST-0020,2026-06-21 22:52,APL-ACC-F-047,APL-ACC-F-047-S-BLA,S,Black,2,499,998,COD,paid,delivered,BLR-FC1,Delhivery,AWB1279172786,2026-06-22,2026-06-27,2026-06-28,,Kochi,682001
OI-000009,ORD-2026-000006,CUST-0089,2026-07-15 13:10,APL-TOP-F-072,APL-TOP-F-072-XXL-BLA,XXL,Black,1,2999,2999,UPI,paid,shipped,DEL-FC1,Bluedart,AWB1346094055,2026-07-16,2026-07-21,,,Chennai,600001
OI-000010,ORD-2026-000007,CUST-0036,2026-06-07 12:45,APL-BTM-F-080,APL-BTM-F-080-L-BLA,L,Black,1,699,699,Netbanking,paid,delivered,DEL-FC1,Delhivery,AWB3828307593,2026-06-07,2026-06-10,2026-06-08,,Hyderabad,500001
