ProductId,Size,Units,AvailabilityFlag,UnitsAvailable
P001,8,274,Y,210
P002,9,135,Y,95
P003,L,252,Y,97
P004,S,68,Y,57
P005,34,72,Y,63
P006,32,259,Y,57
P007,Free,122,Y,117
P008,L,205,Y,51
P009,Free,255,Y,238
P010,Free,34,Y,10
P011,9,114,Y,5
P012,32,276,Y,227
P013,34,263,Y,187
P014,S,232,Y,163
P015,M,247,Y,69
P016,34,251,Y,226
P017,S,247,Y,233
P018,9,58,Y,36
P019,XS,292,Y,79
P020,8,73,Y,50
P021,L,150,Y,14
P022,XXL,91,Y,82
P023,XL,138,Y,21
P024,8,238,Y,235
P025,30,135,Y,112
P026,XL,135,Y,22
P027,9,188,Y,126
P028,S,128,Y,10
P029,XS,63,Y,9
P030,9,214,Y,106
